model,sessions_analyzed,avg_cycles,std_cycles,avg_cycle_amplitude,phase_transition_rate,coherence_stability,avg_coherence,integration_dominance,consumption_dominance,transformation_dominance,generation_dominance,avg_cycle_regularity
gpt-3.5-turbo,50,0.44,0.4963869458396343,0.1580666666666667,0.579,0.035888861973155536,0.9905634999999999,0.386,0.299,0.097,0.218,0.0
claude-3-haiku-20240307,50,0.1,0.3,0.3936266666666667,0.5660000000000001,0.1261767576720657,0.9364636666666667,0.468,0.239,0.12,0.173,0.0
gemini-1.5-flash,50,0.0,0.0,0.0008000000000000007,0.0,0.00027796581915420283,0.73984,1.0,0.0,0.0,0.0,0.0
