model,n_sessions,n_responses,mean_coherence,std_coherence,coherence_range,mean_cycle_length,cycle_regularity,n_transitions,transition_rate,n_transformations
gpt-3.5-turbo,182,3640,0.9899660714285714,0.04550157068308056,0.42666666666666664,0,0,2124,0.5835164835164836,314
claude-3-haiku-20240307,48,960,0.9977083333333333,0.023934480880102665,0.29333333333333333,0,0,641,0.6677083333333333,99
